Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
7KJbFKjlXESLDE1Y9z4TCV,"4iA6bUhiZyvRKJf4FNVX39,0oOet2f43PA68X5RxKobEy",O’Pilla Shubhanalla,Sardaar Gabbar Singh (Original Motion Picture Soundtrack),"Vijay Prakash,Shreya Ghoshal",21-03-2016,272405,45,spotify:user:31xa6ordlcr2yjwxivxdrvge72wm,2021-09-24T17:55:00Z,"filmi,modern bollywood",0.791,0.722,5,-6.456,0,0.0488,0.161,0.0204,0.127,0.83,121.964,4
045Qxlph1ktFXlRNHpUa6t,"6f2iNRGL3Z1TYjTeb9FOPw,5VVN3xZw1i2qihfITZlvCZ,0PykiHCcDsMPRV7s67qZ1B",Love Elephantla,Aparichithudu,"Nakul,G. V. Prakash,Tippu",28-05-2005,345725,46,spotify:user:31xa6ordlcr2yjwxivxdrvge72wm,2021-09-24T17:55:03Z,"filmi,kollywood",0.836,0.783,10,-8.039,0,0.105,0.0402,0.0000476,0.128,0.634,104.99,4
2NEFT1kFinuwRgow5plEZE,1rdQOMFFtoskDXXUVjiGo9,Nuvvele Nuvvele,Jaya Janaki Nayaka,Shweta Mohan,01-08-2017,268303,41,spotify:user:31xa6ordlcr2yjwxivxdrvge72wm,2021-09-24T17:55:06Z,filmi,0.827,0.772,2,-5.692,0,0.0331,0.212,0.0526,0.0973,0.575,104.042,4
2BouAimbjjSvtbWG0eYw1s,"7KTJkO7gP9qQM4wWf9dpJS,0OwLJUBosvUNVMcJ2eREal,3deGGTZLEwwZ6ik9Fv1kVn",Mumbai Ke Hero,Thoofan,"Jaspreet,Roshni Baptist,Ramcharan",26-08-2013,277748,45,spotify:user:31xa6ordlcr2yjwxivxdrvge72wm,2021-09-24T17:55:13Z,tollywood,0.838,0.833,1,-6.125,0,0.0335,0.122,0,0.0676,0.963,117.963,4
2uGqltqeIFAcoBmtThEBs6,"7zFlr6Y537SdALqy0Xfvth,6Ai8JYC34vomuxlxY41K5e,4xbLzGsR7W5QMlLS08BNGt",Idhi Ranarangam,Ramayya Vasthavayya,"Ranjith Govind,Rahul,Naveen",21-09-2013,212640,43,spotify:user:31xa6ordlcr2yjwxivxdrvge72wm,2021-09-24T17:55:15Z,"filmi,tamil pop",0.674,0.91,1,-7.59,0,0.0676,0.502,0.0000853,0.157,0.667,113.058,4
44AMZR2QbU6xwxT28AA66P,0LyfQWJT6nXafLPZqxe9Of,,,,0,0,0,spotify:user:31xa6ordlcr2yjwxivxdrvge72wm,2021-09-24T17:55:19Z,,0.85,0.872,8,-6.773,1,0.069,0.538,0.00414,0.119,0.443,102.992,4
5pkaQ5pS44JGsA8chmUQzk,"0sSxphmGskGCKlwB9xa6WU,2NoJ7NuNs9nyj8Thoh1kbu",Rayini Maatram,Dhasavathaaram (Telugu) (Original Motion Picture Soundtrack),"Himesh Reshammiya,Hariharan",28-03-2008,328080,51,spotify:user:31xa6ordlcr2yjwxivxdrvge72wm,2021-09-24T17:55:21Z,"filmi,modern bollywood,ghazal",0.605,0.653,1,-6.769,1,0.0433,0.108,0.000018,0.0759,0.182,95.103,4
0vjaY63qlKt7EwoPeNU9Dz,"5a2WF7juQ5oilpZCqikRtP,2JMxKRDtejswribT5Rn3b9,0oOet2f43PA68X5RxKobEy,7gVwxXFMkSYwYGNHIt77qU",Bhoochadae,Race Gurram,"Rahul Nambiar,Navin Madhav,Shreya Ghoshal,Ramya",01-08-2014,261648,1,spotify:user:31xa6ordlcr2yjwxivxdrvge72wm,2021-09-24T17:55:24Z,"filmi,tollywood,modern bollywood,hare krishna",0.794,0.828,10,-10.165,0,0.0349,0.577,0.662,0.159,0.706,102.988,4
4Tcs7t7ffUifz73kEOsnQZ,1BIAyVQxDuYrMqZ8H1Faja,Kaadhana Preme (Version 1),Manmadhuda,S.P. Charan,28-04-2005,414190,54,spotify:user:31xa6ordlcr2yjwxivxdrvge72wm,2021-09-24T17:55:41Z,"classic kollywood,filmi",0.656,0.575,5,-7.131,0,0.0474,0.282,0.0000824,0.109,0.313,122.949,4
2ttXo9nh8WJA0iz11UugoS,1SJOL9HJ08YOn92lFcYf8a,Andhanikey,Murari,Shankar Mahadevan,01-02-2001,323343,76,spotify:user:31xa6ordlcr2yjwxivxdrvge72wm,2021-09-24T17:55:46Z,filmi,0.723,0.881,9,-7.394,0,0.188,0.0767,0.00000148,0.113,0.549,132.058,4
63cdUH7934Y3Glreb3uSzE,"0LSPREIgGMZXCuKVel7LVD,0oOet2f43PA68X5RxKobEy",Maha Muddu,Jai Chiranjeeva,"Karthik,Shreya Ghoshal",12-11-2005,305466,52,spotify:user:31xa6ordlcr2yjwxivxdrvge72wm,2021-09-24T17:55:48Z,"filmi,modern bollywood",0.838,0.917,2,-4.464,1,0.0494,0.0579,0.0306,0.0459,0.69,119.974,4
7i7h8Fzh5j69k1wW6vCynx,"2IUtwMti1OiT3lkW6RubgH,0ABDRJbq4a9RuzsUbYTIGu,4xlqU0G9EloUPHL1qlmWY6",Marhaba,Malli Malli Idi Rani Roju,"K. S. Chithra,Aaishwarya,Gopi Sundar",07-12-2014,280869,46,spotify:user:31xa6ordlcr2yjwxivxdrvge72wm,2021-09-24T17:55:53Z,"filmi,tollywood",0.791,0.503,5,-8.995,1,0.0448,0.578,0.00000174,0.0911,0.912,138.977,4
1v6j57RIAQTrmWKJnNN7aG,"7oATc2KjTVSvRVZ8YKvOGT,77J0ibvYcUkiAcfvKeWZ7v",Cheliya Cheliya,Kshanam,"Ishaq vali,Nalini Srikar",21-02-2016,256444,39,spotify:user:31xa6ordlcr2yjwxivxdrvge72wm,2021-09-24T17:55:56Z,,0.717,0.599,0,-9.125,1,0.0276,0.473,0.00126,0.225,0.568,109.993,4
3YNDniFGYtIITxo02cHIZ5,5UJ2sHO2ELrgW6aXeRLTQQ,Mellaga Mellaga,Chi La Sow,Chinmayi,13-07-2018,204111,40,spotify:user:31xa6ordlcr2yjwxivxdrvge72wm,2021-09-24T17:56:04Z,"filmi,marathi pop",0.472,0.443,11,-7.724,0,0.059,0.693,0,0.27,0.272,115.032,5
55jpRZIwLUzV9Pd8v0cTP3,0LSPREIgGMZXCuKVel7LVD,Oh Oh Oh My Friend,Oh My Friend,Karthik,15-10-2011,257912,33,spotify:user:31xa6ordlcr2yjwxivxdrvge72wm,2021-09-24T17:56:07Z,filmi,0.827,0.829,0,-6.642,1,0.0469,0.0753,0.00000275,0.0479,0.911,120.022,4
6OFKZk7gr5KH4SpECB6Uee,3T0lUjLJ29ApjVCaVxdLfx,MalliRaava,MalliRaava (Original Motion Picture Soundtrack),Shravan Bharadwaj,28-11-2017,185989,46,spotify:user:31xa6ordlcr2yjwxivxdrvge72wm,2021-09-24T17:56:11Z,classic tollywood,0.42,0.476,0,-8.427,1,0.0276,0.67,0,0.0885,0.503,160.055,4
